id_original,nombre,categoria,id_color,color,id_talla,talla,precio_color,precio_base,precio_oferta,stock,imagenes_color
9,Flare Pants Chompero,Pantalones,119,Verde Pistacho,167,32,50.0,50.0,,,https://euchelperu.com/images/productos/175693478151148691237238.jpg
9,Flare Pants Chompero,Pantalones,119,Verde Pistacho,168,34,50.0,50.0,,,https://euchelperu.com/images/productos/175693478151148691237238.jpg
9,Flare Pants Chompero,Pantalones,120,Marrón,169,32,50.0,50.0,,,https://euchelperu.com/images/productos/175693478151148691237238.jpg
9,Flare Pants Chompero,Pantalones,120,Marrón,170,34,50.0,50.0,,,https://euchelperu.com/images/productos/175693478151148691237238.jpg
9,Flare Pants Chompero,Pantalones,271,Azul,234,32,0.0,50.0,,,https://euchelperu.com/images/productos/175693478151148691237238.jpg
9,Flare Pants Chompero,Pantalones,271,Azul,235,34,0.0,50.0,,,https://euchelperu.com/images/productos/175693478151148691237238.jpg
9,Flare Pants Chompero,Pantalones,272,Negro,237,32,50.0,50.0,,,https://euchelperu.com/images/productos/175693478151148691237238.jpg
9,Flare Pants Chompero,Pantalones,272,Negro,238,34,50.0,50.0,,,https://euchelperu.com/images/productos/175693478151148691237238.jpg
9,Flare Pants Chompero,Pantalones,273,Blanco,240,32,50.0,50.0,,,https://euchelperu.com/images/productos/175693478151148691237238.jpg
9,Flare Pants Chompero,Pantalones,273,Blanco,241,34,50.0,50.0,,,https://euchelperu.com/images/productos/175693478151148691237238.jpg
16,Top Karol,Tops,31,Rojo,828,Standard,45.0,35.0,,,https://euchelperu.com/images/productos/175997671979939134147281.jpg
22,Chompa Qata manga larga,Tops,53,Celeste,802,Standard,49.0,29.0,,,https://euchelperu.com/images/productos/175997691126879349171172.jpg
24,Pantalón Jean Baggy,Pantalones,62,tono 1,8,26,95.0,95.0,,,https://euchelperu.com/images/productos/175693555853876890651383.jpg | https://euchelperu.com/images/productos/175857058432062661746006.jpg | https://euchelperu.com/images/productos/17585706055267836793195.jpg
24,Pantalón Jean Baggy,Pantalones,62,tono 1,9,28,95.0,95.0,,,https://euchelperu.com/images/productos/175693555853876890651383.jpg | https://euchelperu.com/images/productos/175857058432062661746006.jpg | https://euchelperu.com/images/productos/17585706055267836793195.jpg
24,Pantalón Jean Baggy,Pantalones,62,tono 1,10,30,95.0,95.0,,,https://euchelperu.com/images/productos/175693555853876890651383.jpg | https://euchelperu.com/images/productos/175857058432062661746006.jpg | https://euchelperu.com/images/productos/17585706055267836793195.jpg
24,Pantalón Jean Baggy,Pantalones,62,tono 1,11,32,95.0,95.0,,,https://euchelperu.com/images/productos/175693555853876890651383.jpg | https://euchelperu.com/images/productos/175857058432062661746006.jpg | https://euchelperu.com/images/productos/17585706055267836793195.jpg
24,Pantalón Jean Baggy,Pantalones,62,tono 1,793,34,95.0,95.0,,,https://euchelperu.com/images/productos/175693555853876890651383.jpg | https://euchelperu.com/images/productos/175857058432062661746006.jpg | https://euchelperu.com/images/productos/17585706055267836793195.jpg
24,Pantalón Jean Baggy,Pantalones,63,tono 2,12,26,95.0,95.0,,,https://euchelperu.com/images/productos/175857058432062661746006.jpg | https://euchelperu.com/images/productos/175693555853876890651383.jpg | https://euchelperu.com/images/productos/17585706055267836793195.jpg
24,Pantalón Jean Baggy,Pantalones,63,tono 2,13,28,95.0,95.0,,,https://euchelperu.com/images/productos/175857058432062661746006.jpg | https://euchelperu.com/images/productos/175693555853876890651383.jpg | https://euchelperu.com/images/productos/17585706055267836793195.jpg
24,Pantalón Jean Baggy,Pantalones,63,tono 2,14,30,95.0,95.0,,,https://euchelperu.com/images/productos/175857058432062661746006.jpg | https://euchelperu.com/images/productos/175693555853876890651383.jpg | https://euchelperu.com/images/productos/17585706055267836793195.jpg
24,Pantalón Jean Baggy,Pantalones,63,tono 2,15,32,95.0,95.0,,,https://euchelperu.com/images/productos/175857058432062661746006.jpg | https://euchelperu.com/images/productos/175693555853876890651383.jpg | https://euchelperu.com/images/productos/17585706055267836793195.jpg
24,Pantalón Jean Baggy,Pantalones,63,tono 2,794,34,95.0,95.0,,,https://euchelperu.com/images/productos/175857058432062661746006.jpg | https://euchelperu.com/images/productos/175693555853876890651383.jpg | https://euchelperu.com/images/productos/17585706055267836793195.jpg
24,Pantalón Jean Baggy,Pantalones,64,tono 3,16,26,95.0,95.0,,,https://euchelperu.com/images/productos/17585706055267836793195.jpg | https://euchelperu.com/images/productos/175693555853876890651383.jpg | https://euchelperu.com/images/productos/175857058432062661746006.jpg
24,Pantalón Jean Baggy,Pantalones,64,tono 3,17,28,95.0,95.0,,,https://euchelperu.com/images/productos/17585706055267836793195.jpg | https://euchelperu.com/images/productos/175693555853876890651383.jpg | https://euchelperu.com/images/productos/175857058432062661746006.jpg
24,Pantalón Jean Baggy,Pantalones,64,tono 3,18,30,95.0,95.0,,,https://euchelperu.com/images/productos/17585706055267836793195.jpg | https://euchelperu.com/images/productos/175693555853876890651383.jpg | https://euchelperu.com/images/productos/175857058432062661746006.jpg
24,Pantalón Jean Baggy,Pantalones,64,tono 3,19,32,95.0,95.0,,,https://euchelperu.com/images/productos/17585706055267836793195.jpg | https://euchelperu.com/images/productos/175693555853876890651383.jpg | https://euchelperu.com/images/productos/175857058432062661746006.jpg
24,Pantalón Jean Baggy,Pantalones,64,tono 3,795,34,95.0,95.0,,,https://euchelperu.com/images/productos/17585706055267836793195.jpg | https://euchelperu.com/images/productos/175693555853876890651383.jpg | https://euchelperu.com/images/productos/175857058432062661746006.jpg
24,Pantalón Jean Baggy,Pantalones,65,tono 4,20,26,95.0,95.0,,,https://euchelperu.com/images/productos/175693555853876890651383.jpg | https://euchelperu.com/images/productos/175857058432062661746006.jpg | https://euchelperu.com/images/productos/17585706055267836793195.jpg
